resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1
45,20,13,6,2,2,1,1,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1
89,22,13,6,2,1,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1
149,25,13,6,2,2,1,1,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1
229,29,13,6,2,1,1,1,1,10.0,57,1:35:32.339,5732339,36,1,1:38.708,197.637,1
249,30,13,6,2,2,1,1,1,10.0,44,1:22:59.394,4979394,26,3,1:48.222,232.987,1
349,35,13,6,2,1,1,1,1,10.0,71,1:34:11.435,5651435,36,1,1:13.736,210.377,1
369,36,8,6,6,1,1,1,1,10.0,58,1:25:28.770,5128770,41,1,1:25.235,223.978,1
413,38,13,6,5,1,1,1,1,10.0,57,1:33:27.515,5607515,42,1,1:34.067,207.120,1
435,39,13,6,5,1,1,1,1,10.0,65,1:31:36.230,5496230,14,1,1:22.680,202.685,1
523,43,8,6,6,3,1,1,1,10.0,70,1:30:54.200,5454200,20,2,1:16.207,208.374,1
545,44,8,6,6,2,1,1,1,10.0,59,1:21:43.074,4903074,17,1,1:20.638,229.514,1
611,47,13,6,5,1,1,1,1,10.0,58,1:26:42.161,5202161,18,2,1:27.922,218.566,1
655,49,8,6,6,1,1,1,1,10.0,44,1:20:39.066,4839066,12,2,1:48.095,233.261,1
699,51,8,6,6,2,1,1,1,10.0,56,1:37:58.395,5878395,52,3,1:38.285,199.660,1
721,52,8,6,6,3,1,1,1,10.0,71,1:28:15.270,5295270,66,1,1:12.445,214.126,1
809,56,30,6,5,1,1,1,1,10.0,62,1:31:06.486,5466486,19,2,1:24.624,210.961,1
831,57,30,6,5,2,1,1,1,10.0,60,1:35:58.765,5758765,39,1,1:32.099,201.226,1
941,62,30,6,5,1,1,1,1,10.0,73,1:34:35.199,5675199,56,1,1:12.719,207.527,1
963,63,30,6,5,1,1,1,1,10.0,70,1:32:07.803,5527803,46,1,1:17.111,205.931,1
985,64,30,6,5,2,1,1,1,10.0,67,1:27:51.693,5271693,17,1,1:16.357,215.650,1
1029,66,13,6,6,1,1,1,1,10.0,58,1:28:51.082,5331082,38,2,1:28.123,218.067,1
1051,67,30,6,5,2,1,1,1,10.0,53,1:14:51.975,4491975,14,2,1:22.575,252.555,1
1073,68,30,6,5,6,1,1,1,10.0,56,1:37:32.747,5852747,50,2,1:38.553,199.117,1
1117,70,13,6,6,1,1,1,1,10.0,71,1:31:53.751,5513751,23,2,1:12.877,212.857,1
1295,79,30,6,1,5,1,1,1,10.0,73,1:29:43.181,5383181,48,1,1:11.497,211.074,1
1515,90,30,6,1,1,1,1,1,10.0,58,1:24:15.757,5055757,29,1,1:24.125,226.933,1
1535,91,30,6,1,1,1,1,1,10.0,56,1:31:07.490,5467490,6,2,1:34.819,210.451,1
1555,92,30,6,1,1,1,1,1,10.0,57,1:28:34.875,5314875,7,1,1:30.252,216.074,1
1575,93,30,6,1,2,1,1,1,10.0,62,1:26:19.670,5179670,10,1,1:20.411,220.850,1
1595,94,30,6,1,1,1,1,1,10.0,66,1:27:32.841,5252841,12,1,1:17.450,215.070,1
1635,96,30,6,1,1,1,1,1,10.0,60,1:32:35.101,5555101,7,1,1:29.468,207.144,1
1655,97,30,6,1,6,1,1,1,10.0,70,1:28:24.803,5304803,18,2,1:13.630,213.222,1
1675,98,30,6,1,2,1,1,1,10.0,73,1:40:29.914,6029914,8,2,1:10.412,214.327,1
1695,99,30,6,1,2,1,1,1,10.0,70,1:30:18.133,5418133,32,1,1:15.377,210.669,1
1715,100,30,6,1,4,1,1,1,10.0,60,1:24:42.700,5082700,14,1,1:18.739,235.049,1
1735,101,30,6,1,1,1,1,1,10.0,66,1:23:54.848,5034848,5,2,1:13.783,223.173,1
1755,102,30,6,1,1,1,1,1,10.0,70,1:35:26.131,5726131,29,1,1:19.071,199.461,1
1795,104,22,6,2,1,1,1,1,10.0,53,1:15:18.448,4518448,41,1,1:21.046,257.320,1
1815,105,22,6,2,1,1,1,1,10.0,56,1:29:12.420,5352420,28,2,1:32.455,212.250,1
1835,106,30,6,1,1,1,1,1,10.0,53,1:24:26.985,5066985,41,2,1:32.796,225.281,1
1935,111,30,6,1,1,1,1,1,10.0,62,1:28:12.058,5292058,\N,\N,\N,\N,1
1955,112,30,6,1,1,1,1,1,10.0,65,1:33:46.933,5626933,\N,\N,\N,\N,1
1975,113,30,6,1,1,1,1,1,10.0,69,1:24:04.888,5044888,\N,\N,\N,\N,1
2015,115,30,6,1,3,1,1,1,10.0,70,1:31:13.591,5473591,\N,\N,\N,\N,1
2075,118,22,6,2,1,1,1,1,10.0,60,1:28:37.554,5317554,\N,\N,\N,\N,1
2135,121,30,6,1,1,1,1,1,10.0,53,1:14:19.838,4459838,\N,\N,\N,\N,1
2155,122,30,6,1,7,1,1,1,10.0,73,1:33:35.997,5615997,\N,\N,\N,\N,1
2175,123,22,6,2,1,1,1,1,10.0,53,1:25:11.743,5111743,\N,\N,\N,\N,1
2195,124,30,6,1,2,1,1,1,10.0,58,1:35:36.792,5736792,\N,\N,\N,\N,1
2239,126,30,6,1,2,1,1,1,10.0,71,1:31:43.662,5503662,\N,\N,\N,\N,1
2261,127,30,6,1,1,1,1,1,10.0,62,1:29:10.789,5350789,\N,\N,\N,\N,1
2283,128,30,6,1,1,1,1,1,10.0,65,1:30:29.981,5429981,\N,\N,\N,\N,1
2305,129,30,6,1,3,1,1,1,10.0,71,1:33:51.562,5631562,\N,\N,\N,\N,1
2349,131,30,6,1,2,1,1,1,10.0,70,1:33:36.111,5616111,\N,\N,\N,\N,1
2371,132,22,6,2,4,1,1,1,10.0,60,1:35:07.426,5707426,\N,\N,\N,\N,1
2393,133,30,6,1,3,1,1,1,10.0,60,1:31:45.015,5505015,\N,\N,\N,\N,1
2414,134,30,6,1,2,1,1,1,10.0,72,1:32:09.837,5529837,\N,\N,\N,\N,1
2436,135,30,6,1,1,1,1,1,10.0,67,1:27:52.078,5272078,\N,\N,\N,\N,1
2457,136,22,6,2,1,1,1,1,10.0,77,1:41:49.001,6109001,\N,\N,\N,\N,1
2477,137,30,6,1,1,1,1,1,10.0,44,1:21:20.634,4880634,\N,\N,\N,\N,1
2497,138,22,6,2,4,1,1,1,10.0,53,1:16:19.982,4579982,\N,\N,\N,\N,1
2517,139,22,6,2,2,1,1,1,10.0,73,1:31:08.0,5468000,\N,\N,\N,\N,1
2537,140,30,6,1,1,1,1,1,10.0,53,1:26:59.698,5219698,\N,\N,\N,\N,1
2557,141,30,6,1,1,1,1,1,10.0,58,1:38:26.533,5906533,\N,\N,\N,\N,1
2579,142,30,6,1,1,1,1,1,10.0,55,1:47:34.801,6454801,\N,\N,\N,\N,1
2645,145,30,6,1,1,1,1,1,10.0,65,1:31:03.305,5463305,\N,\N,\N,\N,1
2689,147,30,6,1,2,1,1,1,10.0,78,1:47:22.561,6442561,\N,\N,\N,\N,1
2733,149,30,6,1,1,1,1,1,10.0,67,1:29:42.724,5382724,\N,\N,\N,\N,1
2755,150,30,6,1,2,1,1,1,10.0,72,1:33:35.636,5615636,\N,\N,\N,\N,1
2821,153,30,6,1,1,1,1,1,10.0,77,1:41:49.675,6109675,\N,\N,\N,\N,1
2843,154,30,6,1,3,1,1,1,10.0,36,1:08:05.002,4085002,\N,\N,\N,\N,1
2909,157,30,6,1,1,1,1,1,10.0,53,1:27:33.298,5253298,\N,\N,\N,\N,1
2931,158,30,6,3,3,1,1,1,10.0,58,1:34:01.987,5641987,\N,\N,\N,\N,1
2953,159,30,6,3,3,1,1,1,10.0,71,1:31:35.271,5495271,\N,\N,\N,\N,1
2975,160,30,6,3,2,1,1,1,10.0,62,1:31:39.776,5499776,\N,\N,\N,\N,1
3041,163,30,6,3,2,1,1,1,10.0,67,1:42:00.307,6120307,\N,\N,\N,\N,1
3084,165,30,6,3,1,1,1,1,10.0,69,1:41:12.313,6072313,\N,\N,\N,\N,1
3150,168,22,6,4,18,1,1,1,10.0,45,1:25:34.418,5134418,\N,\N,\N,\N,1
3216,171,30,6,3,1,1,1,1,10.0,53,1:27:31.638,5251638,\N,\N,\N,\N,1
3238,172,30,6,3,1,1,1,1,10.0,73,1:36:30.883,5790883,\N,\N,\N,\N,1
3260,173,30,6,3,1,1,1,1,10.0,53,1:29:53.435,5393435,\N,\N,\N,\N,1
3282,174,30,6,3,1,1,1,1,10.0,56,1:35:54.235,5754235,\N,\N,\N,\N,1
3304,175,56,6,4,6,1,1,1,10.0,57,1:35:01.659,5701659,\N,\N,\N,\N,1
3348,177,30,6,3,3,1,1,1,10.0,62,1:33:44.792,5624792,\N,\N,\N,\N,1
3370,178,30,6,3,2,1,1,1,10.0,78,1:49:31.812,6571812,\N,\N,\N,\N,1
3480,183,56,6,4,3,1,1,1,10.0,71,1:28:12.438,5292438,\N,\N,\N,\N,1
3502,184,56,6,4,5,1,1,1,10.0,45,1:21:58.594,4918594,\N,\N,\N,\N,1
3612,189,56,6,4,2,1,1,1,10.0,56,1:36:38.494,5798494,\N,\N,\N,\N,1
3700,193,30,6,3,2,1,1,1,10.0,72,1:48:36.1,6516100,\N,\N,\N,\N,1
3787,197,30,6,3,3,1,1,1,10.0,69,1:40:57.3,6057300,\N,\N,\N,\N,1
3809,198,30,6,3,2,1,1,1,10.0,71,1:34:45.0,5685000,\N,\N,\N,\N,1
3831,199,30,6,3,2,1,1,1,10.0,60,1:47:02.4,6422400,\N,\N,\N,\N,1
3896,202,30,6,3,3,1,1,1,10.0,77,1:45:26.4,6326400,\N,\N,\N,\N,1
3939,204,30,6,3,1,1,1,1,10.0,53,1:17:10.3,4630300,\N,\N,\N,\N,1
4095,211,30,6,5,2,1,1,1,10.0,62,2:00:05.654,7205654,\N,\N,\N,\N,1
4139,213,30,6,5,1,1,1,1,10.0,54,1:17:40.646,4660646,\N,\N,\N,\N,1
4161,214,30,6,5,1,1,1,1,10.0,72,1:38:50.492,5930492,\N,\N,\N,\N,1
4249,218,30,6,5,3,1,1,1,10.0,44,1:33:46.717,5626717,\N,\N,\N,\N,1
4337,222,30,6,5,2,1,1,1,10.0,53,1:29:48.446,5388446,\N,\N,\N,\N,1
4513,230,30,6,1,3,1,1,1,10.0,65,1:59:49.307,7189307,\N,\N,\N,\N,1
4641,236,30,6,1,3,1,1,1,10.0,44,1:28:15.125,5295125,\N,\N,\N,\N,1
4661,237,30,6,1,3,1,1,1,10.0,53,1:17:43.632,4663632,\N,\N,\N,\N,1
4851,245,55,6,27,5,1,1,1,10.0,68,1:44:54.171,6294171,\N,\N,\N,\N,1
5359,265,77,6,28,1,1,1,1,10.0,45,1:22:37.2,4957200,\N,\N,\N,\N,1
7047,322,117,6,1,6,1,1,1,9.0,71,1:37:21.258,5841258,\N,\N,\N,\N,1
7187,326,117,6,1,13,1,1,1,9.0,69,1:32:35.783,5555783,\N,\N,\N,\N,1
7222,327,117,6,1,4,1,1,1,9.0,80,1:33:29.606,5609606,\N,\N,\N,\N,1
7257,328,117,6,1,5,1,1,1,9.0,64,1:18:30.999,4710999,\N,\N,\N,\N,1
7428,333,95,6,2,1,1,1,1,9.0,61,1:22:11.014,4931014,\N,\N,\N,\N,1
7461,334,117,6,1,2,1,1,1,9.0,73,1:48:01.461,6481461,\N,\N,\N,\N,1
7774,12,8,6,4,6,1,1,1,10.0,44,1:23:50.995,5030995,42,4,1:47.674,234.173,1
7874,356,95,6,27,6,1,1,1,9.0,61,1:38:58.744,5938744,\N,\N,\N,\N,1
8222,365,95,6,27,12,1,1,1,9.0,77,1:49:38.650,6578650,\N,\N,\N,\N,1
8339,368,77,6,28,2,1,1,1,9.0,71,1:36:48.546,5808546,\N,\N,\N,\N,1
8834,383,77,6,28,3,1,1,1,9.0,51,1:17:39.744,4659744,\N,\N,\N,\N,1
9354,402,77,6,28,1,1,1,1,9.0,51,1:32:58.072,5578072,\N,\N,\N,\N,1
9381,403,77,6,28,1,1,1,1,9.0,82,1:52:56.144,6776144,\N,\N,\N,\N,1
9922,424,105,6,27,3,1,1,1,9.0,70,1:46:01.813,6361813,\N,\N,\N,\N,1
10024,428,105,6,27,8,1,1,1,9.0,67,1:35:31.337,5731337,\N,\N,\N,\N,1
10280,438,105,6,27,1,1,1,1,9.0,70,1:36:32.048,5792048,\N,\N,\N,\N,1
10741,455,175,6,27,3,1,1,1,9.0,60,1:37:52.460,5872460,\N,\N,\N,\N,1
10852,459,163,6,28,1,1,1,1,9.0,70,1:48:31.838,6511838,\N,\N,\N,\N,1
10909,461,163,6,28,2,1,1,1,9.0,45,1:27:10.319,5230319,\N,\N,\N,\N,1
10967,463,163,6,28,10,1,1,1,9.0,72,1:38:41.950,5921950,\N,\N,\N,\N,1
11173,470,202,6,28,4,1,1,1,9.0,60,1:36:38.887,5798887,\N,\N,\N,\N,1
11308,475,202,6,28,4,1,1,1,9.0,72,1:38:03.254,5883254,\N,\N,\N,\N,1
11398,478,175,6,27,5,1,1,1,9.0,45,1:27:25.178,5245178,\N,\N,\N,\N,1
11696,488,203,6,27,2,1,1,1,9.0,76,1:54:23.38,6863380,\N,\N,\N,\N,1
11727,489,203,6,27,7,1,1,1,9.0,80,1:46:35.01,6395010,\N,\N,\N,\N,1
12429,514,203,6,12,3,1,1,1,9.0,78,1:41:49.96,6109960,\N,\N,\N,\N,1
12455,515,203,6,12,1,1,1,1,9.0,80,1:50:25.40,6625400,\N,\N,\N,\N,1
12508,517,222,6,11,7,1,1,1,9.0,70,1:39:59.53,5999530,\N,\N,\N,\N,1
12536,518,222,6,11,1,1,1,1,9.0,76,1:55:22.48,6922480,\N,\N,\N,\N,1
12692,524,222,6,11,3,1,1,1,9.0,50,1:22:00.22,4920220,\N,\N,\N,\N,1
12750,526,203,6,12,3,1,1,1,9.0,59,1:52:17.734,6737734,\N,\N,\N,\N,1
12807,528,199,6,11,4,1,1,1,9.0,63,1:49:59.86,6599860,\N,\N,\N,\N,1
12865,530,199,6,11,1,1,1,1,9.0,80,1:52:01.301,6721301,\N,\N,\N,\N,1
13040,536,199,6,11,8,1,1,1,9.0,76,1:42:12.39,6132390,\N,\N,\N,\N,1
13196,541,199,6,11,2,1,1,1,9.0,59,1:40:48.800,6048800,\N,\N,\N,\N,1
13223,542,203,6,12,3,1,1,1,9.0,70,1:57:49.196,7069196,\N,\N,\N,\N,1
13272,544,199,6,12,2,1,1,1,9.0,40,1:45:07.72,6307720,\N,\N,\N,\N,1
13294,545,182,6,11,3,1,1,1,9.0,78,1:42:21.6,6141600,\N,\N,\N,\N,1
13524,553,182,6,11,3,1,1,1,9.0,47,1:31:49.3,5509300,\N,\N,\N,\N,1
13583,555,182,6,11,4,1,1,1,9.0,75,1:41:45.93,6105930,\N,\N,\N,\N,1
13728,560,182,6,1,2,1,1,1,9.0,40,1:45:16.78,6316780,\N,\N,\N,\N,1
13750,561,182,6,1,2,1,1,1,9.0,78,1:42:18.4,6138400,\N,\N,\N,\N,1
13775,562,223,6,2,1,1,1,1,9.0,80,1:53:18.471,6798471,\N,\N,\N,\N,1
13832,564,182,6,1,1,1,1,1,9.0,70,1:42:53.23,6173230,\N,\N,\N,\N,1
13861,565,182,6,1,1,1,1,1,9.0,78,1:59:51.47,7191470,\N,\N,\N,\N,1
13943,568,182,6,1,1,1,1,1,9.0,76,1:44:19.66,6259660,\N,\N,\N,\N,1
14262,580,182,6,12,1,1,1,1,9.0,75,2:01:21.31,7281310,\N,\N,\N,\N,1
14288,581,182,6,12,1,1,1,1,9.0,70,1:43:53.98,6233980,\N,\N,\N,\N,1
14312,582,182,6,12,5,1,1,1,9.0,80,1:59:18.319,7158319,\N,\N,\N,\N,1
14363,584,182,6,12,1,1,1,1,9.0,54,1:40:18.84,6018840,\N,\N,\N,\N,1
14473,588,223,6,11,2,1,1,1,9.0,52,1:22:42.6,4962600,\N,\N,\N,\N,1
14501,589,182,6,12,1,1,1,1,9.0,59,1:42:58.175,6178175,\N,\N,\N,\N,1
14602,593,182,6,12,1,1,1,1,9.0,84,2:00:29.56,7229560,\N,\N,\N,\N,1
14716,597,182,6,12,1,1,1,1,9.0,75,1:43:00.35,6180350,\N,\N,\N,\N,1
14807,600,223,6,11,2,1,1,1,9.0,14,1:41:35.0,6095000,\N,\N,\N,\N,1
15493,627,235,6,4,1,1,1,1,9.0,14,1:42:12.3,6132300,\N,\N,\N,\N,1
15627,632,207,6,6,4,1,1,1,9.0,79,1:47:35.5,6455500,\N,\N,\N,\N,1
15695,635,235,6,2,1,1,1,1,9.0,70,1:56:20.0,6980000,\N,\N,\N,\N,1
16087,651,235,6,12,3,1,1,1,9.0,60,1:42:17.3,6137300,\N,\N,\N,\N,1
16111,652,223,6,4,3,1,1,1,9.0,68,1:39:07.1,5947100,\N,\N,\N,\N,1
16138,653,235,6,18,2,1,1,1,9.0,90,1:21:18.4,4878400,\N,\N,\N,\N,1
16185,655,235,6,3,3,1,1,1,9.0,65,1:53:28.3,6808300,\N,\N,\N,\N,1
16472,672,235,6,26,3,1,1,1,9.0,60,2:25:40.9,8740900,\N,\N,\N,\N,1
16834,691,341,6,6,1,1,1,1,9.0,28,2:09:11.3,7751300,\N,\N,\N,\N,1
16925,696,375,6,6,2,1,1,1,9.0,68,1:47:14.8,6434800,\N,\N,\N,\N,1
17290,714,341,6,7,1,1,1,1,9.0,15,2:12:04.8,7924800,\N,\N,\N,\N,1
17313,715,385,6,8,7,1,1,1,9.0,105,2:06:18.23,7578230,\N,\N,\N,\N,1
17333,716,341,6,2,1,1,1,1,9.0,78,2:10:51.8,7851800,\N,\N,\N,\N,1
17515,724,341,6,7,2,1,1,1,9.0,15,2:13:06.8,7986800,\N,\N,\N,\N,1
17870,739,476,6,3,2,1,1,1,9.0,75,2:01:52.1,7312100,\N,\N,\N,\N,1
17887,740,403,6,4,1,1,1,1,9.0,30,2:03:03.8,7383800,\N,\N,\N,\N,1
17913,741,394,6,50,12,1,1,1,9.0,52,2:14:17.5,8057500,\N,\N,\N,\N,1
17944,742,476,6,4,4,1,1,1,9.0,75,2:40:53.6,9653600,\N,\N,\N,\N,1
18008,744,403,6,2,4,1,1,1,9.0,43,2:03:13.0,7393000,\N,\N,\N,\N,1
18249,754,403,6,20,1,1,1,1,8.0,50,2:21:09.2,8469200,\N,\N,\N,\N,1
18361,759,479,6,24,1,1,1,1,8.0,50,2:01:26.5,7286500,\N,\N,\N,\N,1
18413,761,479,6,4,1,1,1,1,9.0,60,2:09:31.6,7771600,\N,\N,\N,\N,1
18595,770,578,6,4,1,1,1,1,9.0,50,2:03:21.3,7401300,\N,\N,\N,\N,1
18616,771,581,6,1,6,1,1,1,8.0,75,2:09:04.2,7744200,\N,\N,\N,\N,1
18883,784,577,6,34,3,1,1,1,4.0,98,3:00:03.7,10803700,\N,\N,\N,\N,1
18947,787,581,6,8,3,1,1,1,8.0,36,2:40:00.3,9600300,\N,\N,\N,\N,1
18962,788,581,6,14,3,1,1,1,8.0,61,2:34:23.4,9263400,\N,\N,\N,\N,1
18982,789,579,6,1,2,1,1,1,8.0,101,2:59:47.0,10787000,\N,\N,\N,\N,1
19010,790,579,6,1,1,1,1,1,9.0,22,3:38:43.7,13123700,\N,\N,\N,\N,1
19078,793,427,6,44,9,1,1,1,8.0,100,2:58:09.8,10689800,\N,\N,\N,\N,1
19301,803,498,6,9,2,1,1,1,8.14,90,2:56:14.0,10574000,\N,\N,\N,\N,1
19394,807,578,6,38,3,1,1,1,8.0,80,3:13:52.1,11632100,\N,\N,\N,\N,1
19416,808,647,6,10,1,1,1,1,9.0,97,3:01:04.6,10864600,\N,\N,\N,\N,1
19465,810,647,6,2,1,1,1,1,8.0,90,2:53:35.8,10415800,\N,\N,\N,\N,1
19484,811,647,6,10,2,1,1,1,8.0,36,2:48:30.3,10110300,\N,\N,\N,\N,1
19504,812,578,6,16,7,1,1,1,8.0,60,2:44:18.6,9858600,\N,\N,\N,\N,1
19529,813,647,6,5,1,1,1,1,8.5,90,2:50:00.0,10200000,\N,\N,\N,\N,1
19556,814,642,6,12,3,1,1,1,8.0,18,3:02:25.0,10945000,\N,\N,\N,\N,1
19590,815,647,6,46,2,1,1,1,9.0,65,3:01:34.40,10894400,\N,\N,\N,\N,1
19640,817,641,6,30,2,1,1,1,9.0,62,3:01:46.1,10906100,\N,\N,\N,\N,1
19694,819,647,6,4,1,1,1,1,9.0,36,3:03:46.3,11026300,\N,\N,\N,\N,1
19716,820,647,6,8,1,1,1,1,9.0,77,3:00:00.0,10800000,\N,\N,\N,\N,1
19736,821,647,6,15,2,1,1,1,9.0,85,2:46:11.0,9971000,\N,\N,\N,\N,1
19768,822,647,6,101,1,1,1,1,9.0,18,3:06:13.3,11173300,\N,\N,\N,\N,1
19798,823,647,6,2,1,1,1,1,9.0,90,2:53:28.5,10408500,\N,\N,\N,\N,1
19816,824,647,6,12,1,1,1,1,8.5,80,2:50:45.6,10245600,\N,\N,\N,\N,1
19941,829,498,6,12,1,1,1,1,8.0,90,2:42:18.2,9738200,\N,\N,\N,\N,1
19961,830,647,6,71,1,1,1,1,8.0,20,3:23:03.3,12183300,\N,\N,\N,\N,1
19983,831,647,6,2,3,1,1,1,8.0,80,2:42:39.3,9759300,\N,\N,\N,\N,1
20267,784,579,6,34,3,1,1,1,5.0,98,3:00:03.7,10803700,\N,\N,\N,\N,1
20323,337,4,6,8,3,1,1,1,25.0,49,1:39:20.396,5960396,45,1,1:58.287,191.706,1
20563,347,4,6,8,2,1,1,1,25.0,67,1:27:38.864,5258864,66,2,1:15.880,217.005,1
20635,350,4,6,8,1,1,1,1,25.0,53,1:16:24.572,4584572,52,1,1:24.139,247.861,1
20659,351,4,6,8,1,1,1,1,25.0,61,1:57:53.579,7073579,58,1,1:47.976,169.137,1
20707,353,4,6,8,3,1,1,1,25.0,55,2:48:20.810,10100810,42,1,1:50.257,183.335,1
20968,849,4,6,5,3,1,1,1,25.0,52,1:28:41.196,5321196,41,1,1:34.908,223.454,1
21256,861,4,6,5,8,1,1,1,25.0,56,2:44:51.812,9891812,53,7,1:41.680,196.250,1
21400,867,4,6,5,11,1,1,1,25.0,57,1:44:16.649,6256649,40,5,1:43.666,188.185,1
21448,869,4,6,5,1,1,1,1,25.0,67,1:31:05.862,5465862,66,2,1:19.044,208.319,1
21756,882,4,6,3,3,1,1,1,25.0,56,1:36:26.945,5786945,46,4,1:39.506,197.210,1
21800,884,4,6,3,5,1,1,1,25.0,66,1:39:16.596,5956596,53,5,1:26.681,193.329,1
22556,927,20,6,5,2,1,1,1,25.0,56,1:41:05.793,6065793,46,3,1:43.648,193.501,1
22716,936,20,6,5,3,1,1,1,25.0,69,1:46:09.985,6369985,63,5,1:26.772,181.759,1
22776,939,20,6,5,1,1,1,1,25.0,61,2:01:22.118,7282118,53,2,1:50.069,165.659,1
23379,969,20,6,5,2,1,1,1,25.0,57,1:24:11.672,5051672,53,3,1:26.638,220.351,1
23419,971,20,6,5,3,1,1,1,25.0,57,1:33:53.374,5633374,36,4,1:33.826,207.652,1
23479,974,20,6,5,2,1,1,1,25.0,78,1:44:44.340,6284340,38,2,1:15.238,159.669,1
23582,979,20,6,5,1,1,1,1,25.0,70,1:39:46.713,5986713,69,4,1:20.807,195.176,1
23742,987,20,6,5,2,1,1,1,25.0,71,1:31:26.262,5486262,63,7,1:12.539,213.849,1
23782,989,20,6,5,3,1,1,1,25.0,58,1:29:33.283,5373283,53,4,1:26.469,220.782,1
23802,990,20,6,5,1,1,1,1,25.0,57,1:32:01.940,5521940,21,7,1:34.453,206.274,1
23902,995,20,6,5,1,1,1,1,25.0,68,1:28:31.377,5311377,57,2,1:13.964,212.260,1
23962,998,20,6,5,2,1,1,1,25.0,52,1:27:29.784,5249784,47,1,1:30.696,233.831,1
24023,1001,20,6,5,2,1,1,1,25.0,44,1:23:34.476,5014476,25,2,1:46.644,236.435,1
24123,1006,8,6,7,2,1,1,1,25.0,56,1:34:18.643,5658643,45,5,1:38.482,201.527,1
24446,1022,844,6,16,1,1,1,1,25.0,44,1:23:45.710,5025710,23,4,1:46.664,236.390,1
24466,1023,844,6,16,1,1,1,1,25.0,53,1:15:26.665,4526665,47,4,1:23.009,251.235,1
24486,1024,20,6,5,3,1,1,1,25.0,61,1:58:33.667,7113667,57,5,1:44.802,173.916,1
25406,1074,844,6,16,1,1,1,1,26.0,57,1:37:33.584,5853584,51,1,1:34.570,206.018,1
25446,1076,844,6,16,1,1,1,1,26.0,58,1:27:46.548,5266548,58,1,1:20.260,236.740,1
25586,1083,832,6,55,1,1,1,1,25.0,52,2:17:50.311,8270311,44,2,1:30.813,233.530,1
25606,1084,844,6,16,2,1,1,1,25.0,71,1:24:24.312,5064312,62,2,1:07.583,230.010,1
26126,1113,832,6,55,1,1,1,1,25.0,62,1:46:37.418,6397418,47,7,1:37.666,182.089,1
26326,1123,832,6,55,2,1,1,1,25.0,58,1:20:26.843,4826843,48,3,1:20.031,237.418,1
26425,1128,844,6,16,1,1,1,1,25.0,78,2:23:15.554,8595554,\N,0,\N,\N,1
